,R^2,MAPE,MdAPE,MAE ($),RMSE ($),R^2 (train),MAPE (train),MdAPE (train),"MAE (train, $)","RMSE (train, $)",R^2 gap,MAPE gap,MdAPE gap
LightGBM (native cat),0.9358798835137463,0.10911404198267384,0.07614386699393029,145355.33601187402,280659.1626683382,0.969496160255452,0.07699782229287806,0.05650938679365357,93791.87109208237,166129.01712996513,0.03361627674170575,0.03211621968979578,0.01963448020027672
CatBoost (native cat),0.9351206406064552,0.11024299413065793,0.07702058704852065,147746.10443782556,285349.4033536183,0.9499098377336349,0.09855980645774577,0.07098065495791578,125102.41537311432,230638.1572058417,0.014789197127179743,0.011683187672912154,0.006039932090604869
CatBoost,0.9335388199089121,0.11244759847190788,0.08044626619957093,149841.1255191424,285479.9053641175,0.9455240552307941,0.10360212902548506,0.0752933326296134,130350.51860931788,237547.06049328847,0.011985235321882004,0.008845469446422824,0.005152933569957538
LightGBM,0.9333031105875798,0.11238209011236881,0.07988997406652168,148964.69303025916,283379.61052144354,0.9499426285856782,0.09781616691491532,0.06988618610402042,122822.04538557596,227422.9010437065,0.016639517998098485,0.014565923197453493,0.01000378796250126
XGBoost,0.9322651888110606,0.11227508998654405,0.07960864285714286,150360.3332852313,288908.05299066124,0.9695981022002578,0.07578988220973602,0.054144005606860154,91444.13968751862,165556.39672353398,0.0373329133891972,0.036485207776808026,0.02546463725028271
RandomForest,0.911200817111694,0.12685730973848627,0.08630073928960064,173183.74678271264,340558.8894932458,0.9431584823454723,0.10104335267694825,0.06914044849253653,131584.02607578208,258058.85796564902,0.0319576652337783,0.025813957061538023,0.017160290797064104
LinearRegression,0.8527786205283225,0.17040526111611304,0.12763571407910673,224150.14217924685,420609.4496338447,0.850177090312376,0.17228411796202553,0.12692755438396544,217618.05443453265,406612.3907182968,-0.002601530215946557,-0.001878856845912491,0.0007081596951412916
DecisionTree,0.8431653236723922,0.17178665022312437,0.11543780947388599,231705.19643326,434679.2708571989,0.863854964764541,0.16012734442632306,0.10965499925313715,206246.85736730264,383432.7341913793,0.02068964109214888,0.0116593057968013,0.005782810220748835
