iter	Passed	Remaining
558	3085	2433
559	3090	2427
560	3095	2421
561	3100	2416
562	3105	2410
563	3111	2405
564	3116	2399
565	3121	2393
566	3127	2388
567	3133	2383
568	3139	2377
569	3144	2372
570	3149	2366
571	3155	2361
572	3160	2355
573	3166	2349
574	3171	2344
575	3176	2338
576	3182	2332
577	3187	2327
578	3192	2321
579	3197	2315
580	3202	2309
581	3208	2304
582	3214	2298
583	3219	2293
584	3225	2288
585	3230	2282
586	3236	2276
587	3241	2271
588	3247	2266
589	3253	2260
590	3258	2255
591	3264	2249
592	3269	2244
593	3275	2238
594	3280	2233
595	3286	2227
596	3291	2222
597	3296	2216
598	3302	2210
599	3307	2205
600	3313	2199
601	3318	2194
602	3325	2189
603	3330	2183
604	3336	2178
605	3342	2172
606	3347	2167
607	3353	2161
608	3358	2156
609	3364	2150
610	3369	2145
611	3374	2139
612	3380	2134
613	3385	2128
614	3391	2122
615	3396	2117
616	3401	2111
617	3407	2106
618	3412	2100
619	3418	2095
620	3424	2089
621	3429	2084
622	3435	2078
623	3440	2073
624	3446	2067
625	3451	2062
626	3456	2056
627	3462	2050
628	3467	2045
629	3472	2039
630	3478	2034
631	3483	2028
632	3489	2023
633	3494	2017
634	3499	2011
635	3505	2006
636	3510	2000
637	3516	1995
638	3522	1990
639	3529	1985
640	3535	1979
641	3541	1974
642	3546	1969
643	3551	1963
644	3556	1957
645	3561	1951
646	3567	1946
647	3572	1940
648	3578	1935
649	3583	1929
650	3589	1924
651	3594	1918
652	3600	1913
653	3606	1907
654	3611	1902
655	3617	1896
656	3623	1891
657	3628	1886
658	3634	1880
659	3639	1875
660	3645	1869
661	3651	1864
662	3656	1858
663	3662	1853
664	3667	1847
665	3672	1841
666	3678	1836
667	3684	1831
668	3689	1825
669	3694	1819
670	3700	1814
671	3705	1808
672	3711	1803
673	3716	1797
674	3722	1792
675	3727	1786
676	3733	1781
677	3738	1775
678	3744	1770
679	3749	1764
680	3754	1758
681	3760	1753
682	3765	1747
683	3770	1742
684	3776	1736
685	3781	1731
686	3787	1725
687	3792	1719
688	3797	1714
689	3802	1708
690	3808	1702
691	3813	1697
692	3819	1692
693	3824	1686
694	3830	1680
695	3835	1675
696	3841	1669
697	3846	1664
698	3851	1658
699	3857	1653
700	3862	1647
701	3868	1642
702	3873	1636
703	3878	1630
704	3883	1625
705	3888	1619
706	3894	1613
707	3899	1608
708	3904	1602
709	3910	1597
710	3916	1591
711	3922	1586
712	3927	1580
713	3932	1575
714	3938	1569
715	3944	1564
716	3949	1558
717	3955	1553
718	3960	1547
719	3965	1542
720	3971	1536
721	3976	1531
722	3982	1525
723	3987	1519
724	3993	1514
725	3999	1509
726	4004	1503
727	4009	1498
728	4015	1492
729	4020	1487
730	4026	1481
731	4031	1476
732	4037	1470
733	4043	1465
734	4048	1459
735	4054	1454
736	4059	1448
737	4065	1443
738	4070	1437
739	4075	1432
740	4081	1426
741	4086	1420
742	4091	1415
743	4096	1409
744	4102	1404
745	4107	1398
746	4113	1393
747	4118	1387
748	4123	1381
749	4129	1376
750	4135	1371
751	4140	1365
752	4146	1360
753	4151	1354
754	4156	1348
755	4162	1343
756	4167	1337
757	4173	1332
758	4178	1326
759	4184	1321
760	4189	1315
761	4194	1310
762	4200	1304
763	4205	1299
764	4211	1293
765	4216	1288
766	4221	1282
767	4227	1277
768	4233	1271
769	4239	1266
770	4245	1260
771	4250	1255
772	4255	1249
773	4261	1244
774	4266	1238
775	4271	1233
776	4277	1227
777	4282	1221
778	4287	1216
779	4292	1210
780	4297	1205
781	4303	1199
782	4308	1194
783	4314	1188
784	4319	1183
785	4325	1177
786	4331	1172
787	4336	1166
788	4342	1161
789	4347	1155
790	4352	1150
791	4358	1144
792	4363	1139
793	4369	1133
794	4374	1128
795	4380	1122
796	4385	1116
797	4390	1111
798	4395	1105
799	4401	1100
800	4406	1094
801	4412	1089
802	4417	1083
803	4422	1078
804	4428	1072
805	4434	1067
806	4439	1061
807	4445	1056
808	4451	1050
809	4456	1045
810	4462	1039
811	4467	1034
812	4472	1028
813	4478	1023
814	4483	1017
815	4488	1012
816	4494	1006
817	4500	1001
818	4505	995
819	4510	990
820	4516	984
821	4521	979
822	4527	973
823	4533	968
824	4538	962
825	4544	957
826	4550	951
827	4555	946
828	4560	940
829	4566	935
830	4571	929
831	4576	924
832	4582	918
833	4587	913
834	4592	907
835	4597	901
836	4603	896
837	4609	891
838	4614	885
839	4619	879
840	4625	874
841	4631	869
842	4636	863
843	4642	858
844	4648	852
845	4653	847
846	4659	841
847	4664	836
848	4670	830
849	4675	825
850	4681	819
851	4686	814
852	4692	808
853	4698	803
854	4703	797
855	4708	792
856	4714	786
857	4719	781
858	4725	775
859	4730	770
860	4736	764
861	4741	759
862	4746	753
863	4751	747
864	4757	742
865	4762	736
866	4768	731
867	4773	725
868	4778	720
869	4784	714
870	4789	709
871	4794	703
872	4800	698
873	4805	692
874	4810	687
875	4816	681
876	4822	676
877	4827	670
878	4832	665
879	4838	659
880	4843	654
881	4849	648
882	4854	643
883	4859	637
884	4865	632
885	4870	626
886	4876	621
887	4881	615
888	4886	610
889	4892	604
890	4897	599
891	4903	593
892	4908	588
893	4914	582
894	4919	577
895	4925	571
896	4931	566
897	4936	560
898	4942	555
899	4949	549
900	4954	544
901	4960	538
902	4966	533
903	4971	527
904	4976	522
905	4981	516
906	4987	511
907	4992	505
908	4997	500
909	5002	494
910	5007	489
911	5013	483
912	5018	478
913	5023	472
914	5030	467
915	5035	461
916	5040	456
917	5046	450
918	5052	445
919	5057	439
920	5062	434
921	5068	428
922	5073	423
923	5078	417
924	5084	412
925	5089	406
926	5095	401
927	5100	395
928	5105	390
929	5111	384
930	5117	379
931	5123	373
932	5128	368
933	5133	362
934	5139	357
935	5145	351
936	5150	346
937	5155	340
938	5160	335
939	5166	329
940	5171	324
941	5177	318
942	5182	313
943	5188	307
944	5193	302
945	5199	296
946	5204	291
947	5210	285
948	5215	280
949	5221	274
950	5226	269
951	5231	263
952	5238	258
953	5244	252
954	5249	247
955	5254	241
956	5260	236
957	5265	230
958	5270	225
959	5276	219
960	5281	214
961	5287	208
962	5292	203
963	5298	197
964	5303	192
965	5309	186
966	5314	181
967	5320	175
968	5326	170
969	5331	164
970	5337	159
971	5343	153
972	5348	148
973	5354	142
974	5360	137
975	5365	131
976	5371	126
977	5376	120
978	5381	115
979	5386	109
980	5392	104
981	5398	98
982	5403	93
983	5410	87
984	5415	82
985	5421	76
986	5427	71
987	5432	65
988	5438	60
989	5443	54
990	5449	49
991	5454	43
992	5460	38
993	5465	32
994	5470	27
995	5475	21
996	5481	16
997	5486	10
998	5492	5
999	5497	0
