iter	RMSE
335	0.170269934
336	0.1702060175
337	0.1700908581
338	0.1699419239
339	0.1698615065
340	0.1697978301
341	0.1697108568
342	0.1696218857
343	0.1695670561
344	0.169460838
345	0.1693714991
346	0.1693095788
347	0.169224835
348	0.1691414104
349	0.1690589651
350	0.1690027622
351	0.168879261
352	0.168812123
353	0.1687510105
354	0.1686848791
355	0.168596844
356	0.168542631
357	0.1683820991
358	0.1683167579
359	0.1682505236
360	0.1681781739
361	0.168114391
362	0.1680369694
363	0.167984112
364	0.1679163706
365	0.1678456833
366	0.1677584306
367	0.1676383615
368	0.1675359625
369	0.1674702611
370	0.1673888334
371	0.1673089438
372	0.1672549251
373	0.1672056217
374	0.1671521564
375	0.1670936373
376	0.1670146867
377	0.1669550129
378	0.1669050682
379	0.1668454201
380	0.1667471359
381	0.1665528693
382	0.1664811667
383	0.1664147615
384	0.1663659685
385	0.1662902246
386	0.1662169677
387	0.166145236
388	0.1660898399
389	0.166044036
390	0.1659907877
391	0.1659446681
392	0.165808227
393	0.1657550191
394	0.165683795
395	0.1656016275
396	0.1655366387
397	0.1654812319
398	0.1654286541
399	0.1653678359
400	0.1652887475
401	0.1652382123
402	0.1651758498
403	0.1651022363
404	0.1650161921
405	0.1649631569
406	0.1648798328
407	0.1648329554
408	0.1647909559
409	0.1646222122
410	0.1645695507
411	0.1645081391
412	0.164418631
413	0.1643012883
414	0.164220602
415	0.164126598
416	0.1640843461
417	0.164033496
418	0.1639234344
419	0.1638545767
420	0.1637866829
421	0.1636979034
422	0.1636077633
423	0.1635622143
424	0.1634279738
425	0.1633613334
426	0.1633084757
427	0.1632468888
428	0.163174423
429	0.163104404
430	0.1630457255
431	0.1630011088
432	0.162955728
433	0.1628816129
434	0.1628410393
435	0.1627927469
436	0.1627357585
437	0.1626692929
438	0.1626029484
439	0.1625559908
440	0.1625153624
441	0.1624371133
442	0.1623880593
443	0.1623268742
444	0.1622569481
445	0.1622131533
446	0.1621151652
447	0.1620329192
448	0.1619717294
449	0.1618757843
450	0.161750263
451	0.1616633879
452	0.1616165543
453	0.161580196
454	0.1615364021
455	0.1614416336
456	0.1614049609
457	0.1613377515
458	0.1612810064
459	0.1612370947
460	0.1611798037
461	0.1611357965
462	0.16107904
463	0.1610331893
464	0.1609845687
465	0.1609336736
466	0.1608489763
467	0.1608076232
468	0.1607557467
469	0.1607114032
470	0.1606387927
471	0.1605832934
472	0.1605405838
473	0.1604891821
474	0.1604227057
475	0.1603489282
476	0.1602373155
477	0.1601663667
478	0.16009247
479	0.1600317891
480	0.1599341947
481	0.1598818554
482	0.1598460614
483	0.1597710298
484	0.1596998792
485	0.1596564451
486	0.159567684
487	0.1595239933
488	0.1594812903
489	0.1594289714
490	0.1593682741
491	0.1593114358
492	0.1592748288
493	0.1592184558
494	0.1591491998
495	0.1590890099
496	0.1590360629
497	0.1590047849
498	0.1589685477
499	0.1589297745
500	0.1588801352
501	0.1588448825
502	0.1587822733
503	0.1587211691
504	0.1586276454
505	0.1585724306
506	0.1585419249
507	0.1584936262
508	0.1584459775
509	0.158356908
510	0.1582935677
511	0.1582452265
512	0.1581759179
513	0.1581286673
514	0.1580749599
515	0.1579822147
516	0.1579349618
517	0.1578861717
518	0.1577685116
519	0.1577358159
520	0.1576727755
521	0.1576449261
522	0.1575754635
523	0.1575075739
524	0.1574175422
525	0.1573424503
526	0.157258032
527	0.1572118155
528	0.1571735675
529	0.1570697082
530	0.1570358173
531	0.1569876736
532	0.1568729206
533	0.1568243403
534	0.1567897878
535	0.1567421638
536	0.1567052957
537	0.1566436797
538	0.1565777308
539	0.1565345778
540	0.1564859738
541	0.1564391162
542	0.1563987112
543	0.1563292906
544	0.1562757042
545	0.1561941542
546	0.1561560986
547	0.1560735627
548	0.1560305572
549	0.1559789674
550	0.1559434461
551	0.1559135207
552	0.1558658695
553	0.1557899007
554	0.1557544912
555	0.1556801381
556	0.1555714476
557	0.1555123964
558	0.1554734692
559	0.1554435228
560	0.1554145398
561	0.1553779057
562	0.1553415311
563	0.1552985243
564	0.1552717393
565	0.155224605
566	0.1551897858
567	0.1550960094
568	0.1550477717
569	0.1550158869
570	0.1549765668
571	0.1549244675
572	0.1548731136
573	0.1548405027
574	0.1547967303
575	0.1547614554
576	0.1547392391
577	0.154703146
578	0.1546810637
579	0.1546545914
580	0.1545800792
581	0.1545540425
582	0.1544913472
583	0.1544527216
584	0.1543885935
585	0.1543611152
586	0.1543246739
587	0.1542626293
588	0.1542112859
589	0.1541412842
590	0.1540745545
591	0.1540322452
592	0.1539824197
593	0.1539427979
594	0.1538728322
595	0.1538142135
596	0.1537830515
597	0.1537198316
598	0.153654113
599	0.1536174309
600	0.153560294
601	0.1535051106
602	0.1534760181
603	0.1534082913
604	0.1533727142
605	0.1533201122
606	0.1532759901
607	0.1532400666
608	0.1531630293
609	0.1531318773
610	0.153102953
611	0.1530740065
612	0.1529763642
613	0.1529464747
614	0.1529104465
615	0.1528685699
616	0.1528306967
617	0.1527908193
618	0.1527536613
619	0.1526859478
620	0.152645434
621	0.1526005788
622	0.1525686445
623	0.1525242758
624	0.1524615523
625	0.152428551
626	0.152401864
627	0.1523647417
628	0.1523219877
629	0.1522891502
630	0.152231776
631	0.1521804738
632	0.1521445593
633	0.1520872663
634	0.1520596819
635	0.1520071642
636	0.1519782432
637	0.1519415097
638	0.1518903153
639	0.1518478204
640	0.1518139493
641	0.1517791952
642	0.1517556542
643	0.1517304106
644	0.1517007704
645	0.1516759368
646	0.1516170466
647	0.1515915187
648	0.1515503482
649	0.1514968149
650	0.1514654577
651	0.1514100881
652	0.1513376276
653	0.1513015798
654	0.151261702
655	0.1512360942
656	0.1512011718
657	0.1511616639
658	0.1511300304
659	0.1510942894
660	0.1510629715
661	0.151026075
662	0.1509737611
663	0.1509221066
664	0.1508697566
665	0.1508035296
666	0.1507678439
667	0.1507319104
668	0.1506746166
669	0.1506320937
670	0.1505933956
671	0.150565622
672	0.1505381413
673	0.1504877419
674	0.1504533063
675	0.15041984
676	0.150392935
677	0.1503410724
678	0.1502991897
679	0.150248822
680	0.150208153
681	0.150128108
682	0.1501098122
683	0.150069463
684	0.1500436563
685	0.1500178708
686	0.1499763713
687	0.1499558979
688	0.1499362402
689	0.1499153486
690	0.149880815
691	0.1498512311
692	0.1498067146
693	0.1497499072
694	0.1497221404
695	0.1496551934
696	0.149605547
697	0.1495669306
698	0.1495441963
699	0.149505892
700	0.1494719135
701	0.1494377939
702	0.149399827
703	0.1493498106
704	0.149315413
705	0.1492869265
706	0.1492621718
707	0.1492224252
708	0.1491850458
709	0.1491416817
710	0.1491013249
711	0.1490585679
712	0.1490313235
713	0.1490045621
714	0.1489691042
715	0.1489352455
716	0.1488898297
717	0.1488342733
718	0.1487818675
719	0.1487684288
720	0.1487153261
721	0.1486889133
722	0.1486533478
723	0.1486307238
724	0.1485734663
725	0.148520504
726	0.1484877529
727	0.1484570986
728	0.1484452731
729	0.148403828
730	0.1483524099
731	0.1483241599
732	0.1482783154
733	0.1482489003
734	0.1482142297
735	0.1481730873
736	0.1481282737
737	0.148081409
738	0.148044593
739	0.1480203928
740	0.1479915588
741	0.1479703865
742	0.1479254541
743	0.1478989705
744	0.1478668746
745	0.147831004
746	0.1478085376
747	0.1477705386
748	0.147739577
749	0.1477209308
750	0.1476933967
751	0.1476661052
752	0.147621316
753	0.147588699
754	0.1475504492
755	0.1475322638
756	0.1474959325
757	0.1474730512
758	0.1474503612
759	0.1474078658
760	0.1473660377
761	0.147344807
762	0.1473195323
763	0.1472795734
764	0.147250538
765	0.1472245057
766	0.1471836528
767	0.147138209
768	0.1470931483
769	0.1470526537
770	0.1470264458
771	0.1470011226
772	0.1469721332
773	0.1469285098
774	0.1469101484
775	0.146886635
776	0.1468545795
777	0.1468328072
778	0.1468090937
779	0.1467748656
780	0.1467558849
781	0.1467360738
782	0.1466864636
783	0.1466502992
784	0.1466108784
785	0.1465781404
786	0.1465509433
787	0.1464927463
788	0.1464491138
789	0.1464248214
790	0.14637286
791	0.146341495
792	0.1463189629
793	0.1462875142
794	0.146270906
795	0.1462463835
796	0.1462286656
797	0.1461987891
798	0.1461705611
799	0.1461206686
800	0.1460969175
801	0.1460548207
802	0.1460242585
803	0.1459846232
804	0.1459571541
805	0.1459289689
806	0.1458892753
807	0.1458650845
808	0.145818814
809	0.1457889723
810	0.1457446726
811	0.1457042774
812	0.1456802232
813	0.1456508374
814	0.1456324371
815	0.1456089797
816	0.1455725939
817	0.1455428696
818	0.1455157141
819	0.1454857427
820	0.1454644234
821	0.1454397194
822	0.1454004164
823	0.145365261
824	0.1453344302
825	0.1452853305
826	0.1452314686
827	0.1452086172
828	0.145183175
829	0.1451570721
830	0.1451300254
831	0.1450796948
832	0.1450600012
833	0.1450390041
834	0.1450134087
835	0.1449898506
836	0.1449407186
837	0.1449235016
838	0.1448994936
839	0.144852466
840	0.1448288792
841	0.1447962446
842	0.1447510208
843	0.1447226435
844	0.1446874986
845	0.1446589058
846	0.144652225
847	0.1446138105
848	0.1445890197
849	0.1445555809
850	0.1445306269
851	0.1445105364
852	0.1444582632
853	0.1444321347
854	0.1443931924
855	0.1443631665
856	0.1443396634
857	0.1443142757
858	0.1442785525
859	0.1442608497
860	0.1442252605
861	0.1442016343
862	0.1441797532
863	0.1441588254
864	0.1441069548
865	0.1440754045
866	0.1440355766
867	0.1440051369
868	0.1439822099
869	0.1439626554
870	0.1439315513
871	0.1439094184
872	0.1438711153
873	0.1438454736
874	0.1438126112
875	0.143775061
876	0.1437300416
877	0.1437100718
878	0.1436927426
879	0.1436735846
880	0.1436326525
881	0.1436114417
882	0.1435838891
883	0.143544906
884	0.1435098549
885	0.1434960706
886	0.1434564012
887	0.1434322991
888	0.143396579
889	0.1433603843
890	0.143328885
891	0.1432999962
892	0.143267364
893	0.1432503482
894	0.1432119041
895	0.1431761307
896	0.1431583583
897	0.1431329424
898	0.1431174678
899	0.1430960319
900	0.1430585462
901	0.1430199817
902	0.1429986245
903	0.1429662562
904	0.1429429986
905	0.1429177235
906	0.1428921785
907	0.1428431045
908	0.1428267375
909	0.1428039562
910	0.1427831092
911	0.1427598821
912	0.1427421509
913	0.1427148356
914	0.1426702341
915	0.1426504806
916	0.1426293845
917	0.1425674371
918	0.1425494213
919	0.142506649
920	0.142477443
921	0.1424462229
922	0.1424088559
923	0.1423849175
924	0.1423451395
925	0.1423209622
926	0.1422945632
927	0.1422750889
928	0.1422562735
929	0.1422175205
930	0.1421930032
931	0.1421487801
932	0.1421143589
933	0.1420876031
934	0.1420581492
935	0.1420433667
936	0.1420264441
937	0.1420173258
938	0.1419774682
939	0.1419457208
940	0.1419173172
941	0.1418869121
942	0.1418572279
943	0.1418284448
944	0.1418041728
945	0.1417680692
946	0.1417490564
947	0.1417188823
948	0.1416881876
949	0.1416647767
950	0.1416372168
951	0.1416122178
952	0.1415820765
953	0.1415596711
954	0.1415438633
955	0.1415052042
956	0.1414788101
957	0.141459977
958	0.1414333048
959	0.1414173583
960	0.1413764958
961	0.1413475684
962	0.1413173003
963	0.1412803688
964	0.1412539893
965	0.1412089546
966	0.1411738339
967	0.1411561198
968	0.1411305638
969	0.1411114665
970	0.141091814
971	0.1410681126
972	0.1410421879
973	0.1410133341
974	0.1409753618
975	0.1409453801
976	0.1409133444
977	0.1408790797
978	0.1408527191
979	0.140830377
980	0.1407973471
981	0.140775249
982	0.1407520321
983	0.1407157708
984	0.1406923166
985	0.1406582393
986	0.1406290582
987	0.1406131481
988	0.1406050492
989	0.1405736165
990	0.1405458571
991	0.1405299734
992	0.1405081226
993	0.1404586671
994	0.1404256422
995	0.1404104269
996	0.1403834617
997	0.1403660611
998	0.1403383995
999	0.1403059314
